Name,Rating,Comments
JUNAID AYUB, 5 stars ,"Jay Bee's waffle cone ice cream 🍦with chocolate n vanilla mix flavour is too good.

Eik Dafa Tu Khani Banti Hay (one time must try).

I go with family to drink hot coffee ☕ as today in very cold in Lahore. But my children insists to eat ice cream 🍦 first time.

We get fresh waffles ice cream 🍦which is too good in freshness n taste.

Jazak Allah ""Jay Bee's""

We see a lot of families are sitting there in cars and on side road n enjoying ice cream 🍦and coffee ☕.

There are two reasons:
1- taste
2- economical prices

Do visit and check both things, current menu attached for reference."
Gamer Mateen12, 5 stars ,"We went to Bliss and Bite and it was awesome, we ate Dream Cup which was so delicious that I cant explain it"
Hamza Irfan, 4 stars ,The combination of ice-cream with different things is yummy. Suggested.
Jobs Guidance Help You to Find Job, 5 stars ,Love it
Najam Saqib, 1 star ,"Over rated and not at all something to die for. The cleanliness and service is below average, if people are liking it; my guess is the minimal price and the big size.... 😕"
Usman Jutt, 5 stars ,Nice quality and taste
Naveed Ahmed, 1 star ,"Bkwas service provider, good ice cream taste. Management 0. Customer service 0."
Aamir Akram, 4 stars ,Good !
Kanza Fareih, 5 stars ,Amazing Taste and its a value for money too
TALHA TARIQ, 5 stars ,I love brownie with vanilla ice-cream
Muneeb Dar, 4 stars ,"Loved their Brownie with Vanilla Ice Cream. Rest of the menu was good but not extraordinary like other similar ice cream spots (Waffles by Alamgir, CVC etc.). There's no sitting area, neither is there any delivery service. Takeaway is the only option. However, it can serve as a good late night hangout place with friends if one wants to satisfy their craving for something sweet."
biya 514, 5 stars ,"This new icecream is next lvl, I'm in love with this, and best price, its like free ,thanks JB's for thinking of us,"
inzer irshad, 5 stars ,Very good in taste and affordable
Shahzad Ismail, 4 stars ,"The best brownies in the most economical pricing you can only imagine.
Worth waiting half an hour in the queue"
Usman Khan, 5 stars ,Ice cream was yummmm
bilal zulfiqar, 4 stars ,Tastey icecream
LK's World, 3 stars ,They use to have a good taste but not anymore
Saqib Usman, 5 stars ,Cold coffee is the best ...
Shahjamal Ali, 5 stars ,"Best quality, nice quantity, Awsome taste... real value for your hard earned money"
Roadies Pakistan, 5 stars ,Good taste... In 90-Rs
Choudary Zonair, 5 stars ,Delicious icecream i loved it
Hasnain Haider, 4 stars ,It was tasty but it contained too much dry milk. I would rate it lower than waffles
Amna Khan, 5 stars ,Always the Best ♥️
Farah Awan, 5 stars ,It was way to awesome best in flavor best in price jaybees please be my wife
New Vision, 3 stars ,good taste typical but not hv car parking space
dot Dot dot, 4 stars ,This was a lovely experience. One of the best gelato servings in Lahore.
awais jamshaid, 5 stars ,ow-sum taste excellent quality 100% recommended
Chakar Baloch, 5 stars ,Good
Anwer Ahsan Khan, 4 stars ,A good value for money. They have changed the typical model of ice cream parlours
Attiya Akram, 5 stars ,Very economical
Barry Chughtai, 5 stars ,"Amazing ice cream, lovely flavor and presentation"
Yumna Muzafar, 5 stars ,Value for money
Dare Devil, 4 stars ,Amazing experience great taste
pushups fitness, 4 stars ,Zabardast very gud taste nd mush better service now keep it up jay bees
Ejaz Anwar, 5 stars ,Ultimate taste but service is not goodb because of self service. Time taking service ...
Objet d art Designz, 5 stars ,Very good taste ....feels like heaven.very busy But slow service
Noor Nomani, 5 stars ,Good coffe and hot chocolate is also available beside ice creams. The only concern is the parking issue. There is not enough parking spots. Prices are dirt cheap compared to other places right next ro it in DHA
abdullah laghari, 4 stars ,Good
Habib Qureshi, 3 stars ,Taste was good. But management was awful. People wait too long for their orders. They can't even keep up the demand.
Sajid Rehman, 4 stars ,If you are a brownie icecream lover then it can satisfy your tastebuds.
Faizan Tayyab, 5 stars ,Icecream is by far better then mcdonalds and other icecream retailers..😍
omair arshad, 5 stars ,Great experience!
Yusra Mansoor, 5 stars ,Best ice-cream
Sabeeh Ehsan, 3 stars ,Taste is good. Everything is good expect service. Parking issue. Not proper siting arrangement
Fawad Khan, 4 stars ,Good and reasonable ice creams
usman khan, 2 stars ,Too much sweet. Not really worth it.
faheem gaba, 4 stars ,Good experience
Hassnain Shahid Hassnain, 5 stars ,Amazing taste
Sehrish rizwan, 5 stars ,Hot place lovely
Usman Hamid, 3 stars ,Good according to it's price tag but nothing special thou
Hamd Sheikh, 4 stars ,Ice cream brownie was pretty good and not at all overly priced
Sadia Raja, 5 stars ,Best ice cream
Umar Shahzad, 4 stars ,Excellent ice cream at a great price.  Service is a little slow though.
Mahad Mohommad, 4 stars ,Very good icecream in low price but very dew flavours.
Jimmy Raja, 5 stars ,Good
Ahsan Tahir, 5 stars ,My guilt pleasure. Great icecream and brownies are just wow
Zoraiz Ali, 5 stars ,It is a great place and value to money
Husnain Riaz, 5 stars ,Amazing
murtaza sajid, 5 stars ,The cookie Dough was excellent. The rates are very nominal and the quality is excellent. You cannot get a cookie with ice cream for 180 rupees anywhere in Lahore.
Amanda Rose, 1 star ,"Used to be my favorite but their quality has gotten terrible. Also they won't serve you a simple coffee cone, just vanilla or mixed.

CVC tastes just like Jay Bee's used to, has a fraction of the wait and is right down the service lane."
Syed Jawad Ul Haq, 5 stars ,"Delicious Ice Cream
Good Service
Reasonable Price
Hygienic & Healthy Stuff"
Mian Arslan, 4 stars ,Brownie with ice cream is love and at very economical rate.
Kashif Saeed, 5 stars ,best and fresh icecream at best price. highly recommended.
Abid Hussain, 4 stars ,Vey good stuff
Fatimah Khalid, 5 stars ,"Inexpensive, rich taste and amazing quality! Always craving for more!!! Must go place in Lahore, Pakistan"
Maudood Khan, 4 stars ,Very good addition in Lahore. Ice cream doesn't stuck in your throat and gives refreshing taste.
Malik Zahoor, 4 stars ,Too good
Shahzaib Niazi, 5 stars ,Best brownie in town. Cheap and Amazing
Shahid Raoof, 3 stars ,Good ice cream spot; popular in people..
ZeeShan Raza, 1 star ,Rude and ill-mannered staff. Bliss and Bites next to Jay Bee's is a lot better in taste and manners.
Komal Ashfaq, 5 stars ,Ask them for a chocolate milkshake with a brownie blended in. The sundae is also really good.
Abubakar Ghayyur- Mr Chatter, 5 stars ,"Good Taste
No other ice cream available like this in town in Reasonable price."
Yasir Ali, 3 stars ,Nothing really special. Just an un necessary hype created.
Asad Sheikh, 3 stars ,Ice cream is excellent but they need to improve their service
muneezae hasan, 3 stars ,Just didn't taste that amazing
Salman Rajpoot, 5 stars ,Great icecream
aisha khan, 5 stars ,Yummy 😋 yummy ice cream   my favorite spot with my kids
Adeel Abbas, 1 star ,Very slow service. No options in favour. Economical.
Zain Khan, 4 stars ,Much different than others and taste is good in less price.
Shahid Latif CH., 4 stars ,Good place for ice cream in DHA Lahore
abdur rahim qazi, 3 stars ,Good
Zain Bokhari, 5 stars ,Yummiest icecream
Rizwan Ishfaq, 4 stars ,"I hv been a regular visitor of the jay bee's since its opening nd being told since then that sitting lounge is getting ready in few days.yes the taste,quality,texture,presentation nd staff are all exceptional but absence of lounge makes it worst."
Umair Iqbal, 5 stars ,"Rich in taste, they should think about their sitting plan."
Waseem Ahmed, 1 star ,Worst service
MuhammAd RizwAn, 5 stars ,Amazing place for ice cream ❤️🍦
Noor Ahmed, 5 stars ,Extemely tasty ice cream at an extremely affordale price. Recommended place for families despite severe parking issues.
Rana Hamza, 5 stars ,The taste of this ice cream is remarkable ❤️
Zulfiqar Arshad, 5 stars ,"Nice place, if you want to eat good ice cream."
Ayesha Kashif, 3 stars ,Good but very heavy brownie
Nabeel Akhtar, 4 stars ,Shop isn't big though but icecream is awesome
Ali Faisal, 5 stars ,"Had an amazing experience there, they have varieties of ice cream and they really are value for money."
Zohaib Shahid, 5 stars ,"A small but Amazing icecream/desserts takeaway @ reasonable rate. Their brownie with icecream is very good.

Issue # 1: This tiny place attracts a  huge number of customers (mostly in their cars parked right beside it). The parked cars usually cause a chaos like situation for the passing by cars.

Issue # 2: the helpers/order takers/waiters do not match the demand of the product causing serving time to 15mins on average."
H Sajid, 5 stars ,It was super amazing! Thumbs up! They gives Quality at very cheap rates!
fida Gill, 4 stars ,"Love their brownie with ice cream scoop
Chocolate shake thumbs up...
Btw their waffle cone is just ok...."
farrukh saleem, 5 stars ,"Best ice cream in economical price
Cookie dough was  amazing"
qamar shahbaz ul Haq, 5 stars ,Good taste at good office
M.Hamza Zahid, 5 stars ,Best ice-cream in lahore
abrar khan, 5 stars ,New in market but 9/10 in taste
Adeel Z. Khan, 3 stars ,Nothing sort of a wow factor... Value for money...
Asjad Moghees, 5 stars ,More sweet than i could handle but nice
Yashar Khan, 1 star ,Highly overrated. The ice cream was zero cream and all water. Don't go there just because it's cheap.
rida quaid, 5 stars ,The Waffle cone is really tasty. But it's too rushy... Rates are really affordable...
Ali Khan, 5 stars ,Nice place and decet experience
FAM Anime, 5 stars ,Sexxer ice brownie
Rizwan Khalil, 4 stars ,"The brownie with ice cream is for Rs 150,great taste, nice sweet treat for oneself. Behaviour of the staff is not helpful."
Waqas Mahmood, 5 stars ,Lovely ice cream. Long queue but well deserved waiting.
MUHAMMAD NASIR, 3 stars ,Chocolate cone excellent quality  made with dairy. But service is not good.
Amray's Lahore, 5 stars ,"Browne and Ice cream awesome, cold cofee was fantastic.... economical"
Fady Khan, 4 stars ,Few of its flavour are extreamly good it's a good competition to main market waffles.
wasif khan, 5 stars ,To good
Wajih Ali, 3 stars ,The location is nice but the ice cream is not up to the mark with robiyas ice cream in liberty
Muhammad Salahuddin Manzoor, 5 stars ,Quality and quantity better than MC Donald's ice cream.
Haseeb Khawaja, 5 stars ,Yummy waffles. Taste is good. Area is hygienic. Icecream with brownie is a must try.
unk, 5 stars ,"Best ice cream
Best brownie
Best shakes ❤"
Kamran Safdar, 5 stars ,Good taste...
Saima Jehanzeb, 5 stars ,Very tasty and fairly priced plus quick service is all one can say about Jay bee's  icecream
Moeen Aeyzad, 5 stars ,Very yummy. Rates are economical.
Mikail U, 1 star ,"Horrible, slow service. Illmannered staff and unhygenic conditions."
Babay Ki Memes, 5 stars ,Best ice cream I love it
Imran Younas, 5 stars ,Highly recommended. Must try Ice-cream with Browni.
Sheraz Ahmed, 2 stars ,"No service, no taste,"
Munawar Khan, 5 stars ,Good job
Fatima Iqbal, 5 stars ,😋yummy
Yasir Jamil, 3 stars ,Unique taste without any sitting arrangements
Adeel Ahmad, 4 stars ,Hot coffee is dead ... don't even try ....but brownie with ice cream is a worth trying..
Zahid Abbas., 3 stars ,Taste is nice but place is dirty.
Ahmad Malik, 2 stars ,Too sweet
Seham Huq, 5 stars ,Good dessert fairly priced a must go place
Mubasher Pasha, 3 stars ,There's a lot of hype but to be honest it's just normal cone icecream. The waffle cone is too thin and not made fresh on the spot.
Faryal Yaqub, 4 stars ,Excellent and quick service delicious desserts and very economical price.
That was entertaining, 5 stars ,Yummy... Got to go with friends and family
Haleema javaid, 5 stars ,I loved hot chocolate.. That's excellent in taste.
『FURY』, 4 stars ,Chocolate shake is best of all
Kumail Raza, 5 stars ,Best icecream in town but there is no sitting area
Ali Athar Masood, 5 stars ,Great taste. Much variety
Zain Azee, 5 stars ,"I love its icecream, the chocolate one"
Amir Saeed, 4 stars ,OK taste nothing special...👍
Abdullah Anwar Mirza, 5 stars ,Its great
Fawad Maqbool, 4 stars ,Different taste but good and very economical.
Sehrish Sharif, 4 stars ,Good effort. Yummy icecream with brownie. Brownie flavour is very rich
Aijaz Fakhr, 4 stars ,Good cones and cold coffee
Musa Minhas, 4 stars ,It was better than i expected. The best thing was cookie dough.🔥
Rayan Rayan, 4 stars ,Nice taste n very reasonable rates
bhatti Muzamil, 5 stars ,Best taste in town a small place but big taste
Ausama Waseem, 5 stars ,"Excellent experience.
Good Taste & lesser price."
Taiba Hafeez, 5 stars ,Good taste reasonable prices
Ahmed Azan, 5 stars ,Amazing icecream so far in lahore
Noman Awan, 1 star ,No space for seating and car parking. Staff are untidy and un hygenic. Worst experience
Muhammad Hasnain Haider, 5 stars ,"So economical and mouth watering. Highly recommended, folks."
Sumera Salman, 5 stars ,"Amazing taste, excellent quantity. I love it."
Omair Bajwa, 3 stars ,"Regular sundae with topping, nothing more than ordinary"
Muhammad Faseeh ur Rehman, 5 stars ,Great taste specially brownie ice cream
Abdullah Liaqat, 4 stars ,taste is good of all itmes but waiting is too long.
sarah mudassir, 5 stars ,It has an amazing taste .me and my family really enjoyed it
Agha Imran Ali, 1 star ,"Very greedy, business owners lack ethics, within two months they have reduced quantity and raised prices. Very discourteous as if they are only in Lahore. Not the right attitude in such a competitive and foody Lahore."
Ali Sikandar, 3 stars ,"Ice cream parlor

Quality so so"
Mubeen Ahmad, 5 stars ,Great Ice cream
Maaz Ahmad, 4 stars ,Vanila coffee flavor is delicious when it's served with hot brownie 😊
Murtaza Saeed, 5 stars ,Brilliant taste and quantity for the price
Imran Ali Sheikh, 5 stars ,great ice cream
Syed Adil Hussain, 4 stars ,Everything was good. Price was reasonable. But the service was slow.
Usman Rana, 5 stars ,Value for money.
huma mir, 5 stars ,"Jay bees got the best icecrem and deserts in a very reasonable price.All the best and keep up your standard within the range of a comon pakistani to enjoy the goodness of Jay Bees.
May Allah flourish Jay Bees more and more"
jahanzeb afzal, 5 stars ,"Indeed a splendid and mouth watering experience

The ice-cream texture is some what similar to McDonald's and kaybees of Karachi

Thick and fresh, brownies recipe is out of the world"
Kashif Butt, 3 stars ,Average quality of taste
Muhammad Ahmad Raza, 1 star ,Will never visit again. Worst ever taste. Wastage of money only
humza chishty, 1 star ,"Brownie is a bit too sweet, overall, low quality icecream."
Ali Imtiaz Samee, 4 stars ,"Quality soft serve, attracts a mad rush!"
THE KHAN TV, 5 stars ,Thumbs up🖕
Ammar Ahmed, 5 stars ,What a great experience to taste this ice cream combo with cookies and brownies 😋
Syed Zada, 5 stars ,Awesome
Salar Zafar, 4 stars ,Cheap brownie and ice cream and very nice
Muhammad Usman Qureshi, 5 stars ,Great
Faisal Qadeer, 1 star ,This restaurant is a big reason for traffic JAM on BEDIAN ROAD
Entertainment Site, 3 stars ,Thanks your cone is not good
Malik Talha, 5 stars ,They hve the best icecream in Lahore.
Muhammad Shuaib Siddiqui, 3 stars ,"The ice cream and cold coffee are awesome however man behind the cash register (Phase 2, DHA) is awful!"
Rana Muaaz, 5 stars ,best in taste very economical in price
Abdullah Mansoor, 2 stars ,Average taste...  Orders not being handed over as per the turn of customers... Zero presentation points... Overall a bad experience... I wouldnt recommend it to anyone... Loads of better waffle cone places in LHR than this
Bilal Aftab, 5 stars ,Awesome taste. Their cold coffee is a must to try
Abdul Mateen Ahmad, 5 stars ,Nice
Humaira Nasir, 3 stars ,"It was good quantity and price, taste was OK."
S A Naqvi, 4 stars ,Great taste
Muhammad Abdullah, 5 stars ,Great place for dessert!
Mohsin Jafar, 4 stars ,Very nice but too crowdy
Zahid Ehsan, 5 stars ,Treat for taste buds. Texture in taste and doesn’t feel heavy apparently due to fine quality of ingredients and fact that they use homemade stuff.
Ahsen Ali, 3 stars ,Their topping is not so good....
Ajmal Khan, 5 stars ,The best low priced ice cream in Lahore.
shahnawaz ahmed din, 3 stars ,Out standing
Rizwan Ramzan, 4 stars ,"Quality, quantity and the price is superb. But the parking scene is a bit messy."
Muhammed Mubeen, 5 stars ,Mouthwatering💕💕
H Z, 3 stars ,Quality and taste of cones vary..
Art by BK, 3 stars ,It was fine the taste was normal not that special
Noman Riaz, 4 stars ,"Best Ice Cream And Cones In Town.
Doesn’t have place to sit."
Waseem Abbas Awan, 5 stars ,I'm working here some time to make money
Faraz Raza, 4 stars ,"Good but same flavors, need to add more"
Sahar Irfan, 5 stars ,Best.Brownie with icecream is a must try.
Umar Ahmed, 5 stars ,"Had ice cream and brownie,  It was Awesome :D"
Khawaja Naveed Haider, 5 stars ,Brownie with Icecream and Hersheys chocolate are so nice.
Fahad Ahmed, 4 stars ,"It was as delicious as any other outlet, but very crowded"
Abdul Wahab, 4 stars ,Very good taste and excellent value for money.
Health and wellness from Pakistan, 4 stars ,Wonderful new addition of ice cream in lahore
Faaez Hamdani, 5 stars ,Very economical.......
Muhammad Javed, 4 stars ,Best Ice cream i ever had in LAHORE.
Khurram Khawaja, 4 stars ,Light and delicious. Good taste
mahnoor qasir, 3 stars ,The prices are good but the quality of ice cream is not good at all. It has warm brownie with no taste at all
Abdul Rahman, 5 stars ,"Just love it. Value of money 9/10
Taste 9/10"
ISLAM THE RIGHT PATH, 4 stars ,Yummy taste with economical rates
Hasan, 5 stars ,Almost touches alamgir's level. Really tasty ice cream but I liked their brownie cup more. + point is their service since you don't have to leave your car unlike alamgir's.
Ch Ahsan, 5 stars ,its the best icecream in the town
anam raees, 5 stars ,Yummy 😋
Muhammad Owais, 3 stars ,"Too much sugar added but all, is good"
Sweet stories, 4 stars ,Its icecream with brownie is the best
Ashar Waqar, 5 stars ,Best Cone Ice cream in Lahore.. Flawless..
Depressed Cat, 4 stars ,Great Ice cream prices are too high
Cool Moon, 5 stars ,Best icecreams with best prices
Salawar Khalid, 5 stars ,Perfect👍👍
Osama Rana, 3 stars ,Too sweet even for ice cream!
Ashfaq Butt, 4 stars ,Ecxellent Place for Ice Cream lovers
Saqib Jahangir, 5 stars ,Great taste 👌. keep it up
Hamza Mahmood, 4 stars ,Amazing and delicious ice cream brownie
Muhammad Faisal, 5 stars ,One of the best ice cream in Lahore.
Maham Bilal, 4 stars ,Good quality icecream with very reasonable price.
Yousuf J, 4 stars ,Brownie ice cream was good!
Faheem Rehman, 5 stars ,Lovely touch of brownie n ice
Waqas Saigal, 5 stars ,Price vs quality I'm really happy
raza kahn, 1 star ,Joy bee's ice cream in good
Waqas Ali, 5 stars ,Level h boss
Hussain Malik, 5 stars ,Economical and tasty
Ahmed Murtaza, 5 stars ,Worth the quantity & Quality
Wajeeh Malik, 5 stars ,It is a very good place with a good taste.
Muhammad Faisal, 5 stars ,One of the best ice cream in Lahore.
Maham Bilal, 4 stars ,Good quality icecream with very reasonable price.
Yousuf J, 4 stars ,Brownie ice cream was good!
Faheem Rehman, 5 stars ,Lovely touch of brownie n ice
Waqas Saigal, 5 stars ,Price vs quality I'm really happy
raza kahn, 1 star ,Joy bee's ice cream in good
Waqas Ali, 5 stars ,Level h boss
Hussain Malik, 5 stars ,Economical and tasty
Ahmed Murtaza, 5 stars ,Worth the quantity & Quality
Wajeeh Malik, 5 stars ,It is a very good place with a good taste.
Najia Butt, 5 stars ,Really enjoyed the rich texture of the ice cream
MOHAMMAD KHALID Tanweer, 1 star ,Very bad browne is not tastefull
Hamad Ur Rehman Sheikh, 4 stars ,Good but slow service
Mian Bilal Ahmad, 4 stars ,Very excellent place for desert. But there is usually very delay in ordering due to excessive crowd & mismanagement by staff in peak hours.
Iqra Ashraf, 5 stars ,Excellent 🙂
Khizer Noon, 3 stars ,Reasonably priced. But quality could be maintained.
Qasim Malik, 5 stars ,"That was great Experience
So tasty and Amazing
If you want to fun and enjoy here is the option in very very chep price but the quality isvery great I really Love it you can try I hope you really enjoy
It is a pleasure to be here and get …"
hina aarya, 4 stars ,Ice cream is fine
Hassan Hafeez, 5 stars ,Excellent taste
The Shadow Channel, 5 stars ,"Nice portions good taste, esp like the brownie special"
Ali Aziz, 3 stars ,Ice cream is great but service is too bad. Aren't responsive
Furqan Amjad, 4 stars ,Best brownie with icecream and lots of toppings
Ch Talha, 5 stars ,I love there ice cream
Amjad Kabir, 4 stars ,Nice icecream. Creamy and Yummy!!!
Usman Ali, 5 stars ,Simply superb and inexpensive.
kashif raza shah, 5 stars ,Juicy and crunchy .just love it.😋😋😋😋
Ali Vohra, 4 stars ,Good brownies and waffle cone ice creams
Vaqas Ahmad, 3 stars ,Ok
Ghazala Malik, 3 stars ,Too sweet though beautiful
Hassan Tara, 5 stars ,Jb is good and better than others
kim mat, 5 stars ,Great ice cream at very affordable price
Adeel nawab, 5 stars ,This is very tasty ice cream
Bisaam Amir, 4 stars ,Good Ice Cream.
Shaheryar Khan, 4 stars ,Very good icecream with reasonable prices
Wasim Jan, 5 stars ,The best
IFTIKHAR AHMED, 4 stars ,Good taste at reasonable price
SHABBIR AHMED, 5 stars ,Really nice taste
Zain Asad, 5 stars ,Best In Town.
Ali Sikandar, 4 stars ,One must try chocolate lava
Usman Ilyas, 4 stars ,Awesome
Muhammad Taha Imran, 5 stars ,"Now this was a good icecream, a different product and very fairly priced. The only downside was the waiting time."
AXA LOFTS & EXTENSIONS, 5 stars ,"Lovely

Hot cake and ice cream"
Hassan Gul, 3 stars ,The ice cream is 50/50 not something really unusual
Farhan Siddique, 5 stars ,Beyound your expectations but parking is the main issue
Jehanzeb Younas, 1 star ,Need to improve quality
Zainab Rauf, 5 stars ,Yummiest ice cream ever!
Ahmad Tariq, 4 stars ,Great brownie ice-cream
MUHAMMAD ATIQ UR REHMAN, 5 stars ,Best ice-cream
Sadi Butt, 5 stars ,Nice quality value for money
Yousuf Abdul Jabbar, 4 stars ,Doesn't put chocolate with open heart otherwise Ok
Ahmad Zakaria, 5 stars ,Taste good quality good
Haider Ali, 5 stars ,Awesome
Azmul Haq, 5 stars ,Hershey's Special Cone is 💟💟💟
Muhammad Arham Raza, 4 stars ,Amazing taste
Atif Salamat, 5 stars ,"Too good,delicious icecream"
Saira Irfan, 4 stars ,Ice cream is very tasty and reasonable
Waqas Sheikh, 4 stars ,Good Value for money!!!
Haroon Mahmood, 5 stars ,Great place for ice cream and brownies
Musa Jan, 5 stars ,Super duper yummy ice cream
aleena imran, 5 stars ,Great Icecream - great service!
Ahmad Zakaria, 5 stars ,Taste good quality good
Haider Ali, 5 stars ,Awesome
Azmul Haq, 5 stars ,Hershey's Special Cone is 💟💟💟
Muhammad Arham Raza, 4 stars ,Amazing taste
Atif Salamat, 5 stars ,"Too good,delicious icecream"
Saira Irfan, 4 stars ,Ice cream is very tasty and reasonable
Waqas Sheikh, 4 stars ,Good Value for money!!!
Haroon Mahmood, 5 stars ,Great place for ice cream and brownies
Musa Jan, 5 stars ,Super duper yummy ice cream
aleena imran, 5 stars ,Great Icecream - great service!
Ali in Mountains, 5 stars ,Good one recomended!
Ibrar Khalid, 5 stars ,Nice icecream place
asma zaheer, 5 stars ,One of the best ice cream in Lahore
kamran younas, 1 star ,No teast bad service
faiz ahmed, 5 stars ,Delicious ice cream 😋
Mudassar Iqbal, 5 stars ,Ayyashi in a budget
Hammad Bhally, 5 stars ,Famous
Ashraf Baig, 5 stars ,Excellant taste of ice cream
Nasaryab Baig, 3 stars ,Nothing special and the quantity of the ice cream is very low same as Bliss
hmhayYan, 5 stars ,Good related to pricE.
Sheikh Ejaz Elahi, 5 stars ,Great Experience and Delicious IceCream
Mesam Jafri, 3 stars ,Good icecream but hate the service here
Jamshaid acha g Butt, 5 stars ,Very nice
ZEE WANDERLUST, 4 stars ,Totally loved their brownie with Icecream
shahbaz abid malik, 5 stars ,Brownie with ice cream simply the best
Shan Fazal, 5 stars ,Good taste with affordable pricing
ZULFIQAR ALI CHOHAN, 5 stars ,Very good and very economical
Ehsan Aized Rafi Chaudhry, 4 stars ,Good value for money
humara Khan, 5 stars ,such a great taste
abbi jan, 5 stars ,yummy soo taste
Saad Rajpoot, 5 stars ,They need a dinning space
Travel World's official, 5 stars ,Nice ice cream
Sheikh Ahsan Tariq, 4 stars ,It's very economical and delicious
Awais, 5 stars ,👌
Haseeb Waqar, 3 stars ,Just ok place and average ice cream
Sana Halian, 1 star ,Below standards
tahir nawaz, 5 stars ,Tooo good.
Atif Anwar Mirza, 4 stars ,Very good taste. But the attitude of the waiters and makers are quite rude
Arfa Art, 5 stars ,it was great experience
Naeem Electronics, 5 stars ,Chill & cold Sweet
bahader ali, 5 stars ,Nice
Faisal Shabbir, 5 stars ,Excellent.. strongly recommended
rimsha hanif, 5 stars ,Taste is really good
The National Standard, 5 stars ,Excellent
Abdü Selaam Shekh, 1 star ,Waited one hour to eat melted ice cream.... 😡
Asad Gillani, 5 stars ,Super Fudge Delight is very tasty
Farqaleet Iqbal, 5 stars ,Lahore's favourite ice cream
Najeeb Qureshi, 5 stars ,Exelent ice cream
Alia Bilal, 4 stars ,Their brownie with ice cream is yummy
Attiya Tariq, 5 stars ,Good
Ahsan Athar, 4 stars ,Excellent
RAMSHA JAMIL - DESI EDUCATED MAMA, 5 stars ,Amazing amazing amazing !!!
Abbas Sultan, 3 stars ,"Just another ice cream parlour, nothing especial"
Hassan Safdar, 5 stars ,Awesome icecream!
Sheri Lodhi, 4 stars ,Best ice cream in Lahore
usman ali, 5 stars ,Lovely ice cream....
Saad D, 3 stars ,Decent quality ice creams but they were a bit expensive
hamid Wynne, 4 stars ,Low prices and great taste but it's overcrowded
Abdul Wahab Zafar, 3 stars ,Taste was just fine service was pathetic.
Hina Hassan, 2 stars ,Don't know why people like it
Wahab Fareed, 4 stars ,Good taste and decent price
Imran Ashraf, 2 stars ,"Its on service road, very bad parking, they should appoint few boys for parking and cars management"
Abdul Jee, 5 stars ,Good
Mazen aladawi, 5 stars ,V.nice ice cream
Haziq Cheema, 5 stars ,One of the best ice cream shop
Yumna Aziz 1 - E, 5 stars ,Tasteful yet affordable
Fazeel Ahmad, 1 star ,Very Bad Ice cream Much Sour 😷
Naveed Shaukat, 5 stars ,Economical and delicious ice cream
Muhammad Najeeb, 2 stars ,so so
sher ali, 5 stars ,I had lemon tea from jay bee's  ... A cup of lemon tea for ( 80rs ) but each sip you take is worth it ....
FONECLINIC Tech Tips, 5 stars ,nice and great taste.
arslan ikram, 4 stars ,Fresh brownie with icecream
Amna Arif/SalamatElem, 1 star ,Heare very much about it.. but it was ordinary...
Mir Mudassir, 4 stars ,Tastefully and economical
Sheikh Hasaan, 5 stars ,Amazing taste
Imran Gondal, 4 stars ,One of the best and cost effective
Muhammad Sarmad, 5 stars ,😍
Urham Iftikhar, 4 stars ,Good value for money
Shahzad J Jaffari, 4 stars ,It was value for money
BILAL AHMED, 5 stars ,1000% yummy
Moaz Saqlain, 5 stars ,delicious icecream love the service
Haneef Fireworks, 5 stars ,Loved one
Waqas Iqbal, 5 stars ,Superb taste... Yummy...
N Abaid, 5 stars ,Best soft serve ever!!!
27shamaila, 4 stars ,Awesome.
Arslan Arshad, 3 stars ,Good Experience Improvement Required
Uzma Zubair, 4 stars ,V.good
Magic 3, 4 stars ,Economical and great taste
Adil Aftab Iqbal, 5 stars ,Excellent ice cream
Hassaan Laeeq, 5 stars ,Good icecream
Waqas Afzal, 3 stars ,"Nothing exceptional, don't understand what the hype is all about."
Umair Awan, 5 stars ,Tried cold coffee and found it A+
Hamza Nasir, 4 stars ,Excellent try brownie
jawad khalid, 5 stars ,creamy and tasty!!
Esha Aamir, 5 stars ,Value for money is 10/10
hassan ijazzx, 5 stars ,This is my home town love it
Taha Fazal, 4 stars ,Fine Ice cream
Muhammad Saeed, 4 stars ,Sweet n creamy
Sidq Aftab Ahmad, 3 stars ,Pomy’s is better
Shahid Tariq, 5 stars ,10 out of 10
Muhammad Ali, 2 stars ,Very sweet and ordinary
Mehar Moon, 5 stars ,affordable and yummy i love jay bees
Faisal Saeed, 5 stars ,Excellent taste and service
J D, 5 stars ,Excellent icecream
Sikander Jamil, 4 stars ,Quality and not expensive.
Muazzam Hans, 5 stars ,Best icecream must try
Chaudhary Usman, 5 stars ,I just loved it !
Sarah Bokhari, 5 stars ,Best ice cream in town
global issue, 5 stars ,Yas
Ahmad Fowad Hanif, 5 stars ,Loved it
Sunny Bearings, 5 stars ,like it so much .....
Mubashir Khan, 3 stars ,Normal quality
WAQAS RAZZAQ, 5 stars ,Great 1
sheikh, 4 stars ,New trend in ice cream
Zarsha Saleem, 5 stars ,👍🏻💯
Ramish Siddique, 4 stars ,"Great taste !!,"
Aasif Mehmood, 5 stars ,Tasty ice cream
Umair Niazi, 2 stars ,Good for refreshment
asif sajid asi, 4 stars ,Cool
inam ulhaq, 3 stars ,Parking problems
Nóòb Gaming, 5 stars ,Yum!
Saqib Abdullah, 5 stars ,I love it
